종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"089890","코세스","KOSDAQ","우량기업부","23800","900","3.93","23400","24350","22900","0.0","5932856900","394722095600","17.0"
"360350","코셈","KOSDAQ","기술성장기업부","7010","80","1.15","7000","7070","6950","0.0","60178850","40153069700","6.0"
"189350","코셋","KONEX","일반기업부","1597","-281","-14.96","1597","1880","1597","0.0","746094","7665600000","5.0"
"082660","코스나인","KOSDAQ","관리종목(소속부없음)","480","0","0.00","0","0","0","0.0","0","47827617120","100.0"
"192820","코스맥스","KOSPI",,"173000","-5000","-2.81","181000","181000","170600","0.0","24236297200","1963465057000","11.0"
"044820","코스맥스비티아이","KOSPI",,"13640","-250","-1.80","13890","13900","13620","0.0","274585755","130997482440","10.0"
"222040","코스맥스엔비티","KOSDAQ","중견기업부","3510","-30","-0.85","3550","3550","3470","0.0","62807630","72404280000","21.0"
"241710","코스메카코리아","KOSDAQ","우량기업부","70400","400","0.57","69800","71000","67000","0.0","5001723550","751872000000","11.0"
"005070","코스모신소재","KOSPI",,"43500","1850","4.44","41300","43750","41100","0.0","7456516575","1414217886000","33.0"
"005420","코스모화학","KOSPI",,"14120","210","1.51","13900","14340","13900","0.0","2408471395","542324179360","38.0"
"355150","코스텍시스","KOSDAQ","벤처기업부","13470","-230","-1.68","13800","14000","13130","0.0","556614940","105030304500","8.0"
"169670","코스텍시스템","KONEX","일반기업부","6090","90","1.50","6000","6130","5800","0.0","14618800","17468562090","3.0"
"071950","코아스","KOSPI",,"3250","-130","-3.85","3380","3415","3095","0.0","380814577","37274016000","11.0"
"166480","코아스템켐온","KOSDAQ","벤처기업부","1863","18","0.98","1840","1880","1764","1.0","942648402","98497510488","53.0"
"045970","코아시아","KOSDAQ","중견기업부","5870","-120","-2.00","6060","6190","5740","0.0","1893104620","154468322120","26.0"
"196450","코아시아씨엠","KOSDAQ","중견기업부","858","62","7.79","796","858","791","0.0","153571784","38884201356","45.0"
"384470","코어라인소프트","KOSDAQ","기술성장기업부","4175","-70","-1.65","4245","4250","4120","0.0","425054089","74927439100","18.0"
"002020","코오롱","KOSPI",,"45000","-650","-1.42","45200","45600","44150","0.0","4219853325","568189170000","13.0"
"138490","코오롱ENP","KOSPI",,"8000","-20","-0.25","8100","8160","7910","0.0","530206090","304000000000","38.0"
"003070","코오롱글로벌","KOSPI",,"8920","-30","-0.34","8980","9030","8920","0.0","158551900","226781714280","25.0"
"003075","코오롱글로벌우","KOSPI",,"14800","-220","-1.46","14900","14900","14800","0.0","34659870","10962907600","1.0"
"450140","코오롱모빌리티그룹","KOSPI",,"7290","0","0.00","0","0","0","0.0","0","457646152500","63.0"
"45014K","코오롱모빌리티그룹우","KOSPI",,"12200","0","0.00","0","0","0","0.0","0","29964664000","2.0"
"102940","코오롱생명과학","KOSDAQ","중견기업부","47300","800","1.72","47450","47600","45350","0.0","2115344975","610506728700","13.0"
"002025","코오롱우","KOSPI",,"23950","-1000","-4.01","24950","25050","23650","0.0","328269175","25779540500","1.0"
"120110","코오롱인더","KOSPI",,"42450","-50","-0.12","42100","43000","41850","0.0","9633349725","1168185412950","28.0"
"120115","코오롱인더우","KOSPI",,"24400","-250","-1.01","24500","24800","23800","0.0","300821700","67535784000","3.0"
"950160","코오롱티슈진","KOSDAQ","외국기업(소속부없음)","71900","400","0.56","70800","73300","68600","1.0","38769242400","5983608953500","83.0"
